geoID,tractCE,nameLSAD,variable,mi10,mi10_moe,mi10_inflate,mi16,mi16_moe,delta
29510110400,110400,"Census Tract 1104, St. Louis city, Missouri",B19013_001,27371,3768,30344.722295000003,19695,4032,-10649.722295000003
29510110500,110500,"Census Tract 1105, St. Louis city, Missouri",B19013_001,23125,15002,25637.415625,17841,4561,-7796.4156250000015
29510111100,111100,"Census Tract 1111, St. Louis city, Missouri",B19013_001,27948,11509,30984.410460000003,30417,9558,-567.4104600000028
29510111200,111200,"Census Tract 1112, St. Louis city, Missouri",B19013_001,20227,8659,22424.562415,21316,1939,-1108.5624150000003
29510111300,111300,"Census Tract 1113, St. Louis city, Missouri",B19013_001,15833,3474,17553.176285,21906,4651,4352.823714999999
29510111400,111400,"Census Tract 1114, St. Louis city, Missouri",B19013_001,16654,8948,18463.37383,28458,9569,9994.62617
29510111500,111500,"Census Tract 1115, St. Louis city, Missouri",B19013_001,29038,6497,32192.833510000004,32786,7927,593.166489999996
29510112100,112100,"Census Tract 1121, St. Louis city, Missouri",B19013_001,39112,7255,43361.323240000005,55313,9238,11951.676759999995
29510112200,112200,"Census Tract 1122, St. Louis city, Missouri",B19013_001,27543,8992,30535.409235000003,21053,6158,-9482.409235000003
29510112300,112300,"Census Tract 1123, St. Louis city, Missouri",B19013_001,15227,11068,16881.337415,17484,2097,602.6625849999982
29510112400,112400,"Census Tract 1124, St. Louis city, Missouri",B19013_001,45361,7515,50289.245845000005,54167,3727,3877.754154999995
29510113500,113500,"Census Tract 1135, St. Louis city, Missouri",B19013_001,39694,6227,44006.554630000006,43333,9979,-673.554630000006
29510114101,114101,"Census Tract 1141.01, St. Louis city, Missouri",B19013_001,37730,8202,41829.17585000001,41597,7129,-232.1758500000069
29510114102,114102,"Census Tract 1141.02, St. Louis city, Missouri",B19013_001,51818,6862,57447.766610000006,56993,11716,-454.76661000000604
29510114200,114200,"Census Tract 1142, St. Louis city, Missouri",B19013_001,44369,9143,49189.470005,50238,7303,1048.5299949999971
29510114300,114300,"Census Tract 1143, St. Louis city, Missouri",B19013_001,49836,3847,55250.43222,63964,8704,8713.567779999998
